,,,,,,,,,,Métrage en m ,Position,taille mm,taille mm,,,,
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,1259.179,1196.568,7.663,0.966,0.000,717,717,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,1283.131,1229.161,4.048,4.566,0.000,748,748,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,1029.200,1167.220,2.563,0.647,0.000,561,561,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,1042.338,232.148,4.281,2.129,0.000,568,568,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,1062.337,939.031,7.872,0.803,0.000,577,577,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,1091.021,581.000,3.154,0.650,0.000,583,583,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,1091.018,211.457,3.887,2.065,0.000,585,585,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,1146.043,561.761,1.792,0.977,0.000,607,607,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,748.893,1230.960,3.963,6.012,0.000,468,468,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,748.892,1517.614,16.402,2.754,0.000,469,469,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,748.885,1741.089,7.265,2.578,0.000,470,470,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,755.942,1559.301,5.250,3.183,0.000,480,480,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,917.336,1719.031,4.290,2.316,0.000,520,520,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,924.120,583.894,4.316,0.640,0.000,524,524,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,689.813,238.338,9.482,6.644,0.000,433,433,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,689.815,187.852,2.083,0.652,0.000,434,434,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,740.846,1086.334,7.781,0.803,0.000,459,459,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,748.901,479.810,26.640,1.450,0.000,461,461,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,748.900,901.471,2.382,0.810,0.000,466,466,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,748.900,1055.255,15.158,4.321,0.000,467,467,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,554.780,353.139,3.974,0.815,0.000,361,361,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,558.335,514.529,7.746,0.794,0.000,364,364,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,563.891,1320.294,3.458,0.658,0.000,370,370,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,580.434,211.499,20.826,4.073,0.000,381,381,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,612.984,1749.829,7.460,5.162,0.000,403,403,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,689.817,481.593,16.909,4.073,0.000,432,432,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,470.353,206.682,6.248,0.652,0.000,322,322,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,509.530,291.746,9.635,14.743,0.000,331,331,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,517.617,1423.287,6.417,12.568,0.000,335,335,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,521.309,275.299,6.300,1.690,0.000,340,340,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,521.305,255.315,1.415,0.810,0.000,343,343,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,545.765,466.473,6.258,1.772,0.000,356,356,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,26,1391,462.080,384.507,11.063,2.706,0.000,299,299,0'
