2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,29,2469,17.621,1140.711,3.197,6.680,0.000,19,19,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,28,2469,17.696,1138.691,5.217,1.456,0.000,20,20,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,13,2469,31.051,1299.976,1.800,3.087,0.000,23,23,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,15,2469,32.430,300.332,0.478,1.138,0.000,25,25,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,13,2469,38.216,1249.432,4.891,11.638,0.000,28,28,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,15,2469,42.020,1499.357,0.624,1.627,0.000,30,30,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,13,2469,45.492,1431.152,2.093,4.062,0.000,32,32,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,15,2469,49.985,249.811,0.794,1.461,0.000,35,35,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,13,2469,53.212,479.938,3.464,2.044,0.000,37,37,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,29,2469,57.800,327.300,0.953,2.435,0.000,41,41,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,13,2469,58.585,1304.458,5.761,7.962,0.000,43,43,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,13,2469,60.904,1070.962,3.125,5.898,0.000,47,47,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,29,2469,63.014,1146.102,3.360,4.248,0.000,50,50,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,24,2469,79.271,135.819,2.723,3.081,0.000,58,58,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,13,2469,81.873,132.588,7.569,5.688,0.000,59,59,0'
2469,'01 389802_74353',0,'TERMINE',1232.910,0.000,'1500EV6/AI',0,15,2469,86.578,496.046,0.996,0.485,0.000,64,64,0'
